time,test_data,Category,URL,prediction
2023.11.23,[따져보니] 오픈AI 사태…'기술-규제' 전쟁?,TV조선,https://n.news.naver.com/article/448/0000437297,거짓
2023.11.23,[팩트체크] 소방관이 지급받는 간병료가 간병인 일당도 안된다?,이데일리,https://n.news.naver.com/article/018/0005625128,거짓
2023.11.22,[따져보니] 구급차 출동 요청…어디까지 허용?,TV조선,https://n.news.naver.com/article/448/0000437095,거짓
2023.11.22,"[사실은] ""사이렌 오더는 취소 안 돼요""…문제 없나 보니",SBS,https://n.news.naver.com/article/055/0001107818,사실
2023.11.22,"""서울 편입 찬성 2배 늘었다?"" 김포시 여론조사의 함정 [오마이팩트]",오마이뉴스,https://n.news.naver.com/article/047/0002413399,사실
2023.11.22,"[사실은] 스타벅스 ""주문 취소 안 된다""…규정 알아보니",SBS,https://n.news.naver.com/article/055/0001107789,거짓
2023.11.21,‘소변→모발→손톱’ 검사 음성이면 결백? “신종마약 투약 가능성도”,한겨레,https://n.news.naver.com/article/028/0002665472,사실
2023.11.21,"[팩트체크] 무알코올, 비알코올 맥주 마시고 운전하면 음주운전?",YTN,https://factcheck.snu.ac.kr/,거짓
2023.11.21,[팩트체크] 고수익 재택 아르바이트의 실체,YTN,https://n.news.naver.com/article/052/0001962630,거짓
2023.11.21,[따져보니] 행정망 마비 사태…근본 원인은?,TV조선,https://n.news.naver.com/article/052/0001962629,거짓
2023.11.20,[따져보니] 33년 만의 '초 엔저'…우리 수출 괜찮나?,TV조선,https://n.news.naver.com/article/437/0000367801,논란
2023.11.19,"[따져보니] 소비자 우롱하는 '꼼수 인상', 막는 해법은",TV조선,https://n.news.naver.com/article/448/0000436754,거짓
2023.11.18,컴퓨터 옆에 둔 선인장…전자파 차단 효과 없다? [노컷체크],노컷뉴스,https://n.news.naver.com/article/448/0000436695,사실
2023.11.17,[따져보니] 위성정당 방지법…'꼼수' 막을까?,TV조선,https://n.news.naver.com/article/079/0003835001,거짓
